model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.696,0.777,0.796,0.784,0.84,0.837,0.796,3e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,21.118,0.456,0.81,0.781,0.833,0.826,0.89,1e-05,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
svc,ag,0.75,0.747,0.747,0.75,0.224,0.224,0.224,0.224,4.722,0.002,0.793,0.735,0.786,0.771,0.873,3e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
logreg,ag,0.75,0.747,0.747,0.75,0.224,0.224,0.224,0.224,9.463,0.121,0.795,0.741,0.793,0.78,0.874,8e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
mlp,ag,0.6,0.567,0.567,0.6,0.2,0.226,0.226,0.2,9.796,1.795,0.788,0.739,0.792,0.779,0.868,2.5e-05,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.586,0.137,0.357,0.201,0.16,0.209,0.227,1.4e-05,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.071,0.343,0.237,0.263,0.378,0.329,0.134,1.1e-05,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.74,0.002,0.26,0.207,0.222,0.208,0.148,4e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.801,0.007,0.297,0.18,0.152,0.183,0.138,6e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.351,1.441,0.22,0.216,0.272,0.231,0.139,2.2e-05,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.957,0.091,0.281,0.301,0.45,0.417,0.133,5e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.461,0.328,0.197,0.223,0.316,0.264,0.107,7e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.784,0.006,0.214,0.196,0.234,0.203,0.129,4e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
