model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
logreg,craig,0.5,0.333,0.4,0.5,0.0,0.0,0.133,0.0,14.435,0.45,0.5,0.134,0.042,0.155,0.44,0.0,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
mlp,craig,0.3,0.267,0.267,0.3,0.4,0.389,0.389,0.4,8.781,0.041,0.432,0.284,0.329,0.29,0.408,5.5e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
xgb,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,7.019,9.76,0.5,0.134,0.042,0.155,0.595,7.4e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
rf,craig,0.4,0.267,0.267,0.4,0.2,0.133,0.133,0.2,24.355,0.807,0.5,0.134,0.042,0.155,0.5,1.1e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
svc,craig,0.5,0.333,0.4,0.5,0.0,0.0,0.133,0.0,10.22,0.002,0.5,0.134,0.042,0.155,0.528,3e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
logreg,craig,0.5,0.4,0.467,0.5,0.316,0.327,0.34,0.316,17.522,0.399,0.479,0.323,0.378,0.333,0.453,1e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
mlp,craig,0.2,0.133,0.133,0.2,0.245,0.163,0.163,0.245,9.333,0.069,0.479,0.218,0.194,0.22,0.438,4.8e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.814,3.531,0.835,0.792,0.883,0.876,0.873,4.9e-05,original,10,6,,,,
rf,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,26.922,0.55,0.768,0.682,0.8,0.775,0.844,3.6e-05,original,10,6,,,,
svc,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,12.882,0.002,0.76,0.667,0.787,0.758,0.824,3e-06,original,10,6,,,,
logreg,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,12.128,0.022,0.779,0.691,0.807,0.782,0.845,0.0,original,10,6,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,10.061,0.044,0.741,0.648,0.772,0.74,0.812,5.7e-05,original,10,6,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.099,3.827,0.801,0.801,0.895,0.895,0.851,5.8e-05,original,10,6,1394.8440988063812,0,8.642968910604358e-07,0.0016744136810302734
rf,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,20.729,0.564,0.749,0.674,0.798,0.774,0.814,2.2e-05,original,10,6,1394.8440988063812,0,8.642968910604358e-07,0.0016744136810302734
