model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
rf,ag,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,20.655,0.434,0.657,0.64,0.739,0.727,0.723,1.5e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
svc,ag,0.5,0.447,0.447,0.5,0.274,0.298,0.298,0.274,8.723,0.002,0.658,0.644,0.744,0.734,0.282,7e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
logreg,ag,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,3.595,0.111,0.662,0.627,0.716,0.696,0.723,1e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
mlp,ag,0.4,0.313,0.313,0.4,0.122,0.111,0.111,0.122,15.331,3.944,0.668,0.615,0.695,0.669,0.73,5.6e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
xgb,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.115,0.281,0.466,0.453,0.65,0.682,0.404,1.3e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,19.01,0.326,0.431,0.434,0.581,0.558,0.39,1e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
svc,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,2.987,0.002,0.414,0.419,0.571,0.546,0.313,3e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
logreg,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.145,0.006,0.461,0.447,0.647,0.679,0.312,0.0,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,8.006,1.508,0.326,0.278,0.323,0.287,0.268,3.5e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
xgb,lc,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,5.06,0.836,0.456,0.444,0.641,0.668,0.394,1e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,23.758,0.468,0.381,0.385,0.514,0.472,0.318,9e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.161,0.002,0.433,0.434,0.606,0.602,0.318,7e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
logreg,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.123,0.006,0.402,0.408,0.559,0.532,0.311,1.1e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.892,0.033,0.35,0.321,0.391,0.344,0.284,2.7e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
xgb,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.37,5.03,0.5,0.438,0.682,0.779,0.5,9e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
rf,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,14.799,0.246,0.5,0.438,0.682,0.779,0.5,5e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
svc,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,7.651,0.002,0.5,0.438,0.682,0.779,0.495,2e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,7.88,0.115,0.5,0.438,0.682,0.779,0.574,0.0,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
mlp,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,11.12,1.61,0.521,0.498,0.604,0.57,0.532,3.5e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
xgb,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,4.828,0.321,0.5,0.438,0.682,0.779,0.5,7e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
rf,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,15.22,0.339,0.5,0.438,0.682,0.779,0.5,6e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
svc,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,5.327,0.002,0.5,0.438,0.682,0.779,0.53,4e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,7.578,0.111,0.499,0.437,0.681,0.777,0.535,1.4e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
mlp,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,3.917,0.02,0.53,0.422,0.459,0.429,0.537,3.2e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0020825862884521484
xgb,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,4.463,1.553,0.564,0.531,0.628,0.596,0.603,8e-06,original,10,6,,,,
rf,random,0.6,0.573,0.573,0.6,0.3,0.32,0.32,0.3,17.728,0.194,0.592,0.523,0.595,0.558,0.608,9e-06,original,10,6,,,,
svc,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,6.53,0.002,0.591,0.504,0.563,0.527,0.362,3e-06,original,10,6,,,,
logreg,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,4.692,0.119,0.565,0.508,0.586,0.548,0.588,0.0,original,10,6,,,,
mlp,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,7.541,0.076,0.597,0.527,0.597,0.56,0.612,5.3e-05,original,10,6,,,,
xgb,k-means,0.6,0.587,0.587,0.6,0.3,0.293,0.293,0.3,7.499,7.445,0.582,0.523,0.6,0.563,0.607,1.8e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
rf,k-means,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,24.055,0.538,0.596,0.497,0.549,0.514,0.652,1.5e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
svc,k-means,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,3.847,0.002,0.658,0.646,0.746,0.738,0.324,3e-06,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
logreg,k-means,0.6,0.56,0.56,0.6,0.339,0.352,0.352,0.339,7.601,0.008,0.653,0.632,0.731,0.717,0.726,0.0,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
mlp,k-means,0.55,0.48,0.48,0.55,0.332,0.349,0.349,0.332,9.013,0.02,0.661,0.61,0.692,0.665,0.729,3.1e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
xgb,k-means,0.55,0.507,0.507,0.55,0.292,0.297,0.297,0.292,5.806,0.25,0.605,0.571,0.666,0.639,0.657,8e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
rf,k-means,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,18.421,0.132,0.655,0.625,0.717,0.698,0.72,4e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
svc,k-means,0.55,0.507,0.507,0.55,0.292,0.297,0.297,0.292,8.199,0.002,0.662,0.674,0.784,0.793,0.241,5e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
logreg,k-means,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,9.741,0.008,0.685,0.667,0.759,0.749,0.753,2.7e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
mlp,k-means,0.35,0.24,0.24,0.35,0.2,0.131,0.131,0.2,5.035,0.025,0.667,0.612,0.691,0.664,0.733,3.4e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0017361640930175781
xgb,k-center,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,6.51,6.799,0.564,0.381,0.375,0.381,0.616,8e-06,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
rf,k-center,0.6,0.52,0.52,0.6,0.255,0.299,0.299,0.255,19.723,0.35,0.504,0.195,0.102,0.231,0.519,1.4e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
svc,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,5.656,0.002,0.502,0.188,0.09,0.226,0.494,3e-06,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
logreg,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,8.416,0.007,0.502,0.186,0.087,0.225,0.564,0.0,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
