model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,k-means,0.667,0.657,0.661,0.671,0.183,0.183,0.179,0.176,6.658,70.375,0.557,0.378,0.374,0.378,0.595,2.9e-05,original,0.002,6,0,0,0,0.010468244552612305
rf,k-means,0.58,0.558,0.568,0.596,0.127,0.138,0.131,0.117,36.849,0.511,0.575,0.432,0.454,0.435,0.63,1.6e-05,original,0.002,6,0,0,0,0.010468244552612305
svc,k-means,0.683,0.659,0.663,0.685,0.086,0.092,0.085,0.071,6.597,0.002,0.623,0.606,0.712,0.697,0.662,1.5e-05,original,0.002,6,0,0,0,0.010468244552612305
logreg,k-means,0.66,0.643,0.649,0.667,0.084,0.093,0.086,0.069,3.952,0.132,0.618,0.547,0.619,0.584,0.654,0.0,original,0.002,6,0,0,0,0.010468244552612305
mlp,k-means,0.57,0.553,0.56,0.576,0.133,0.133,0.126,0.117,14.84,5.648,0.604,0.489,0.532,0.5,0.664,4e-05,original,0.002,6,0,0,0,0.010468244552612305
xgb,k-means,0.757,0.751,0.753,0.758,0.085,0.085,0.082,0.076,4.842,0.066,0.631,0.539,0.598,0.563,0.701,8e-06,latent,0.002,6,0,0,0,0.010468244552612305
rf,k-means,0.647,0.641,0.645,0.649,0.113,0.108,0.105,0.103,67.648,1.326,0.686,0.634,0.713,0.689,0.748,5.3e-05,latent,0.002,6,0,0,0,0.010468244552612305
svc,k-means,0.68,0.675,0.678,0.684,0.135,0.133,0.131,0.127,17.933,0.003,0.649,0.631,0.73,0.717,0.724,3.8e-05,latent,0.002,6,0,0,0,0.010468244552612305
logreg,k-means,0.703,0.697,0.7,0.707,0.253,0.254,0.252,0.252,11.958,0.986,0.59,0.512,0.576,0.539,0.651,2.3e-05,latent,0.002,6,0,0,0,0.010468244552612305
mlp,k-means,0.533,0.515,0.521,0.538,0.108,0.13,0.12,0.094,15.361,0.23,0.669,0.639,0.73,0.713,0.746,1.7e-05,latent,0.002,6,0,0,0,0.010468244552612305
xgb,k-center,0.583,0.58,0.584,0.591,0.056,0.057,0.058,0.057,7.527,24.529,0.539,0.321,0.29,0.326,0.604,1.9e-05,original,0.002,6,0,0,0,0.0021338462829589844
rf,k-center,0.6,0.591,0.598,0.611,0.148,0.151,0.148,0.145,28.775,0.514,0.532,0.307,0.271,0.314,0.587,2.1e-05,original,0.002,6,0,0,0,0.0021338462829589844
svc,k-center,0.637,0.597,0.607,0.649,0.121,0.157,0.145,0.103,5.392,0.01,0.53,0.314,0.282,0.319,0.592,9e-06,original,0.002,6,0,0,0,0.0021338462829589844
