model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
rf,k_center,0.683,0.678,0.678,0.683,0.143,0.147,0.147,0.143,15.524,0.099,0.629,0.479,0.577,0.517,0.753,9e-06,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0014564990997314453
svc,k_center,0.6,0.581,0.581,0.6,0.033,0.039,0.039,0.033,4.177,0.004,0.554,0.29,0.29,0.29,0.375,8e-06,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0014564990997314453
logreg,k_center,0.617,0.604,0.604,0.617,0.113,0.125,0.125,0.113,7.025,0.006,0.518,0.258,0.248,0.258,0.59,1e-06,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0014564990997314453
mlp,k_center,0.567,0.552,0.552,0.567,0.111,0.121,0.121,0.111,7.382,0.038,0.545,0.367,0.426,0.379,0.56,4.2e-05,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0014564990997314453
xgb,craig,0.467,0.419,0.476,0.533,0.103,0.129,0.136,0.125,4.199,0.013,0.57,0.552,0.738,0.715,0.508,6e-06,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0015478134155273438
rf,craig,0.558,0.528,0.556,0.567,0.133,0.126,0.093,0.082,14.607,0.332,0.568,0.499,0.644,0.587,0.569,2.1e-05,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0015478134155273438
svc,craig,0.567,0.522,0.579,0.633,0.114,0.128,0.08,0.067,6.949,0.002,0.499,0.465,0.773,0.836,0.435,5e-06,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0015478134155273438
logreg,craig,0.567,0.539,0.591,0.633,0.159,0.177,0.138,0.125,2.598,0.006,0.568,0.582,0.81,0.844,0.729,1e-06,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0015478134155273438
mlp,craig,0.483,0.405,0.411,0.467,0.107,0.134,0.154,0.125,6.498,0.019,0.568,0.566,0.769,0.766,0.665,7e-06,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0015478134155273438
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.762,0.028,0.191,0.106,0.112,0.106,0.114,1.4e-05,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0013952255249023438
