model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
mlp,lc,0.975,0.975,0.975,0.975,0.031,0.031,0.031,0.031,7.666,0.126,0.322,0.296,0.416,0.339,0.264,1.1e-05,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.0014276504516601562
xgb,random,0.812,0.811,0.811,0.812,0.105,0.107,0.107,0.105,5.726,0.038,0.793,0.703,0.815,0.792,0.853,2e-06,40,3,,,,
rf,random,0.8,0.797,0.797,0.8,0.092,0.094,0.094,0.092,15.95,0.181,0.821,0.755,0.856,0.843,0.877,1.5e-05,40,3,,,,
svc,random,0.738,0.728,0.728,0.738,0.1,0.104,0.104,0.1,4.222,0.006,0.764,0.755,0.87,0.868,0.869,9e-06,40,3,,,,
logreg,random,0.788,0.782,0.782,0.788,0.116,0.121,0.121,0.116,5.073,0.008,0.813,0.781,0.879,0.873,0.869,0.0,40,3,,,,
mlp,random,0.688,0.683,0.683,0.688,0.068,0.074,0.074,0.068,7.131,0.048,0.768,0.671,0.789,0.759,0.83,4e-06,40,3,,,,
xgb,k-means,0.9,0.9,0.9,0.9,0.102,0.102,0.102,0.102,6.7,0.03,0.837,0.804,0.892,0.886,0.878,6e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013380050659179688
rf,k-means,0.838,0.837,0.837,0.838,0.094,0.094,0.094,0.094,14.173,0.117,0.764,0.72,0.84,0.828,0.851,1.1e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013380050659179688
svc,k-means,0.738,0.734,0.734,0.738,0.083,0.083,0.083,0.083,6.958,0.005,0.705,0.58,0.698,0.65,0.811,8e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013380050659179688
logreg,k-means,0.788,0.787,0.787,0.788,0.102,0.102,0.102,0.102,5.656,0.008,0.731,0.595,0.707,0.66,0.815,0.0,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013380050659179688
mlp,k-means,0.7,0.698,0.698,0.7,0.121,0.119,0.119,0.121,8.04,0.137,0.687,0.539,0.645,0.59,0.756,3.4e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013380050659179688
xgb,ag,0.912,0.911,0.911,0.912,0.064,0.066,0.066,0.064,5.146,0.029,0.807,0.754,0.858,0.847,0.863,4e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013706684112548828
rf,ag,0.85,0.848,0.848,0.85,0.122,0.125,0.125,0.122,16.249,0.443,0.779,0.763,0.872,0.869,0.881,3e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013706684112548828
svc,ag,0.788,0.787,0.787,0.788,0.094,0.093,0.093,0.094,7.243,0.005,0.687,0.637,0.781,0.757,0.788,8e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013706684112548828
logreg,ag,0.75,0.749,0.749,0.75,0.088,0.088,0.088,0.088,7.065,0.009,0.726,0.613,0.734,0.692,0.789,1e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013706684112548828
mlp,ag,0.675,0.67,0.67,0.675,0.061,0.057,0.057,0.061,8.015,0.092,0.672,0.602,0.744,0.709,0.755,1.4e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0013706684112548828
xgb,k_center,0.738,0.731,0.731,0.738,0.133,0.138,0.138,0.133,7.188,0.013,0.796,0.773,0.876,0.872,0.821,9e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.001369476318359375
rf,k_center,0.688,0.68,0.68,0.688,0.158,0.166,0.166,0.158,13.733,0.394,0.642,0.496,0.599,0.54,0.76,2.7e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.001369476318359375
svc,k_center,0.638,0.629,0.629,0.638,0.121,0.129,0.129,0.121,4.089,0.006,0.555,0.285,0.28,0.285,0.332,1.1e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.001369476318359375
logreg,k_center,0.65,0.642,0.642,0.65,0.102,0.112,0.112,0.102,6.997,0.007,0.517,0.231,0.203,0.234,0.587,1e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.001369476318359375
mlp,k_center,0.588,0.566,0.566,0.588,0.064,0.075,0.075,0.064,7.46,0.034,0.558,0.337,0.368,0.34,0.579,3.9e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.001369476318359375
xgb,craig,0.54,0.507,0.536,0.575,0.186,0.21,0.204,0.187,4.163,0.011,0.677,0.606,0.747,0.711,0.714,2e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014460086822509766
rf,craig,0.477,0.473,0.496,0.5,0.231,0.231,0.221,0.224,15.541,0.274,0.525,0.344,0.395,0.353,0.62,2e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014460086822509766
svc,craig,0.65,0.606,0.615,0.65,0.029,0.039,0.053,0.05,6.974,0.002,0.511,0.329,0.375,0.336,0.483,3e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014460086822509766
logreg,craig,0.605,0.563,0.569,0.6,0.077,0.074,0.085,0.094,4.021,0.105,0.594,0.442,0.532,0.473,0.613,0.0,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014460086822509766
mlp,craig,0.597,0.559,0.567,0.6,0.054,0.061,0.076,0.094,6.394,0.026,0.542,0.4,0.485,0.425,0.54,5e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014460086822509766
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.56,0.016,0.248,0.126,0.122,0.126,0.131,2e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014293193817138672
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.134,0.308,0.233,0.147,0.17,0.148,0.13,2.2e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014293193817138672
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.915,0.003,0.321,0.245,0.312,0.257,0.238,5e-06,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014293193817138672
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.937,0.008,0.348,0.274,0.353,0.292,0.287,0.0,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014293193817138672
mlp,lc,0.988,0.987,0.987,0.988,0.025,0.025,0.025,0.025,7.817,0.944,0.391,0.318,0.414,0.346,0.326,2.8e-05,40,3,1021.9330322742462,504.2293655872345,5.893538833319781e-07,0.0014293193817138672
xgb,random,0.888,0.887,0.887,0.888,0.073,0.073,0.073,0.073,6.948,0.022,0.833,0.781,0.875,0.866,0.885,8e-06,40,4,,,,
rf,random,0.825,0.824,0.824,0.825,0.133,0.135,0.135,0.133,17.325,0.448,0.782,0.717,0.832,0.815,0.862,2.9e-05,40,4,,,,
svc,random,0.825,0.822,0.822,0.825,0.1,0.104,0.104,0.1,6.892,0.006,0.772,0.712,0.829,0.813,0.18,1e-05,40,4,,,,
logreg,random,0.838,0.835,0.835,0.838,0.102,0.105,0.105,0.102,7.162,0.008,0.786,0.722,0.835,0.818,0.856,1e-06,40,4,,,,
mlp,random,0.762,0.762,0.762,0.762,0.1,0.1,0.1,0.1,8.459,0.073,0.767,0.688,0.807,0.783,0.853,1.9e-05,40,4,,,,
xgb,k-means,0.975,0.975,0.975,0.975,0.031,0.031,0.031,0.031,4.375,0.027,0.831,0.8,0.89,0.885,0.858,7e-06,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0013604164123535156
rf,k-means,0.938,0.936,0.936,0.938,0.068,0.071,0.071,0.068,15.252,0.195,0.779,0.73,0.845,0.832,0.86,1.6e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0013604164123535156
svc,k-means,0.925,0.925,0.925,0.925,0.061,0.061,0.061,0.061,6.511,0.005,0.822,0.753,0.854,0.84,0.89,6e-06,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0013604164123535156
logreg,k-means,0.938,0.937,0.937,0.938,0.056,0.057,0.057,0.056,6.951,0.009,0.803,0.744,0.85,0.837,0.887,0.0,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0013604164123535156
mlp,k-means,0.875,0.873,0.873,0.875,0.119,0.12,0.12,0.119,7.219,0.147,0.777,0.683,0.798,0.771,0.853,1.8e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0013604164123535156
xgb,ag,0.975,0.975,0.975,0.975,0.031,0.031,0.031,0.031,4.514,0.024,0.835,0.808,0.895,0.891,0.879,1.7e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001497507095336914
rf,ag,0.925,0.925,0.925,0.925,0.047,0.047,0.047,0.047,13.381,0.151,0.793,0.726,0.837,0.821,0.873,1.2e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001497507095336914
svc,ag,0.875,0.874,0.874,0.875,0.088,0.088,0.088,0.088,6.314,0.004,0.783,0.671,0.784,0.752,0.872,6e-06,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001497507095336914
logreg,ag,0.888,0.887,0.887,0.888,0.073,0.073,0.073,0.073,7.017,0.22,0.8,0.695,0.804,0.777,0.883,1e-06,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001497507095336914
mlp,ag,0.775,0.774,0.774,0.775,0.085,0.085,0.085,0.085,8.679,0.13,0.726,0.591,0.704,0.657,0.82,1.6e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001497507095336914
xgb,k_center,0.712,0.709,0.709,0.712,0.094,0.096,0.096,0.094,3.382,0.025,0.695,0.583,0.705,0.659,0.783,1.4e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001337289810180664
rf,k_center,0.662,0.652,0.652,0.662,0.085,0.096,0.096,0.085,12.608,0.116,0.744,0.6,0.709,0.662,0.827,1.1e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001337289810180664
svc,k_center,0.625,0.622,0.622,0.625,0.137,0.136,0.136,0.137,3.949,0.004,0.56,0.336,0.367,0.339,0.624,1e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001337289810180664
logreg,k_center,0.612,0.61,0.61,0.612,0.16,0.161,0.161,0.16,6.971,0.007,0.562,0.381,0.443,0.394,0.609,1e-06,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001337289810180664
mlp,k_center,0.588,0.585,0.585,0.588,0.151,0.15,0.15,0.151,7.32,0.826,0.572,0.355,0.394,0.36,0.629,3.1e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001337289810180664
xgb,craig,0.603,0.598,0.642,0.65,0.065,0.068,0.056,0.05,4.189,0.034,0.46,0.223,0.21,0.224,0.465,1.3e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001354217529296875
rf,craig,0.493,0.466,0.511,0.525,0.057,0.075,0.061,0.05,16.255,0.269,0.476,0.193,0.152,0.198,0.459,1.9e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001354217529296875
svc,craig,0.517,0.42,0.514,0.625,0.033,0.072,0.066,0.0,6.813,0.002,0.537,0.211,0.16,0.217,0.566,4e-06,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001354217529296875
logreg,craig,0.557,0.5,0.563,0.625,0.063,0.108,0.095,0.079,6.295,0.007,0.58,0.326,0.342,0.327,0.746,0.0,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001354217529296875
mlp,craig,0.43,0.39,0.443,0.475,0.095,0.095,0.092,0.122,7.266,0.031,0.572,0.343,0.373,0.345,0.702,6.8e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.001354217529296875
xgb,lc,0.988,0.987,0.987,0.988,0.025,0.025,0.025,0.025,13.597,0.025,0.241,0.102,0.081,0.103,0.098,2e-06,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0015802383422851562
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.327,0.358,0.199,0.139,0.17,0.141,0.123,2.5e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0015802383422851562
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.026,0.004,0.296,0.249,0.334,0.269,0.209,7e-06,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0015802383422851562
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.451,0.006,0.268,0.194,0.241,0.2,0.19,1e-06,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0015802383422851562
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.431,0.08,0.323,0.276,0.374,0.304,0.266,4.1e-05,40,4,355.52774572372437,482.9157099723816,5.662790384229866e-07,0.0015802383422851562
xgb,random,0.9,0.899,0.899,0.9,0.045,0.046,0.046,0.045,7.963,0.026,0.832,0.743,0.843,0.825,0.895,6e-06,50,0,,,,
rf,random,0.85,0.848,0.848,0.85,0.055,0.057,0.057,0.055,13.639,0.222,0.819,0.72,0.825,0.802,0.88,1.8e-05,50,0,,,,
svc,random,0.82,0.816,0.816,0.82,0.051,0.052,0.052,0.051,7.171,0.007,0.79,0.752,0.86,0.852,0.87,9e-06,50,0,,,,
logreg,random,0.85,0.849,0.849,0.85,0.055,0.055,0.055,0.055,6.954,0.008,0.784,0.725,0.838,0.823,0.857,1e-06,50,0,,,,
mlp,random,0.77,0.769,0.769,0.77,0.051,0.052,0.052,0.051,4.845,0.18,0.76,0.672,0.792,0.764,0.83,1.8e-05,50,0,,,,
xgb,k-means,0.94,0.94,0.94,0.94,0.058,0.059,0.059,0.058,6.347,0.043,0.842,0.8,0.888,0.882,0.88,1.7e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014116764068603516
rf,k-means,0.89,0.89,0.89,0.89,0.12,0.12,0.12,0.12,16.34,0.229,0.809,0.742,0.848,0.833,0.882,1.7e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014116764068603516
svc,k-means,0.84,0.839,0.839,0.84,0.037,0.038,0.038,0.037,6.254,0.007,0.771,0.637,0.747,0.707,0.873,7e-06,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014116764068603516
logreg,k-means,0.79,0.789,0.789,0.79,0.073,0.074,0.074,0.073,4.201,0.015,0.739,0.587,0.694,0.645,0.838,0.0,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014116764068603516
mlp,k-means,0.7,0.693,0.693,0.7,0.152,0.157,0.157,0.152,6.276,0.133,0.758,0.65,0.767,0.732,0.84,2.5e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014116764068603516
xgb,ag,0.96,0.96,0.96,0.96,0.058,0.058,0.058,0.058,4.896,0.053,0.836,0.786,0.879,0.87,0.898,1.7e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014843940734863281
rf,ag,0.91,0.909,0.909,0.91,0.073,0.074,0.074,0.073,17.125,0.325,0.797,0.762,0.867,0.86,0.883,2.5e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014843940734863281
svc,ag,0.78,0.777,0.777,0.78,0.075,0.078,0.078,0.075,6.416,0.005,0.74,0.608,0.721,0.676,0.825,8e-06,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014843940734863281
logreg,ag,0.81,0.809,0.809,0.81,0.066,0.067,0.067,0.066,7.043,0.011,0.7,0.58,0.699,0.651,0.784,1e-06,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014843940734863281
mlp,ag,0.65,0.649,0.649,0.65,0.071,0.071,0.071,0.071,7.312,0.024,0.694,0.589,0.716,0.671,0.773,3e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0014843940734863281
xgb,k_center,0.77,0.769,0.769,0.77,0.103,0.104,0.104,0.103,6.221,0.028,0.655,0.519,0.629,0.572,0.764,1.7e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0013604164123535156
rf,k_center,0.66,0.659,0.659,0.66,0.08,0.08,0.08,0.08,14.045,0.183,0.745,0.603,0.713,0.667,0.853,2.6e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0013604164123535156
svc,k_center,0.59,0.584,0.584,0.59,0.08,0.083,0.083,0.08,7.182,0.008,0.541,0.32,0.346,0.322,0.596,1.2e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0013604164123535156
logreg,k_center,0.64,0.636,0.636,0.64,0.058,0.061,0.061,0.058,5.79,0.006,0.556,0.301,0.307,0.301,0.641,1e-06,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0013604164123535156
mlp,k_center,0.58,0.573,0.573,0.58,0.087,0.094,0.094,0.087,6.647,0.04,0.589,0.429,0.512,0.454,0.649,2e-06,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0013604164123535156
xgb,craig,0.72,0.713,0.713,0.72,0.098,0.1,0.1,0.098,4.157,0.036,0.607,0.513,0.645,0.588,0.661,1e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015170574188232422
rf,craig,0.68,0.677,0.677,0.68,0.117,0.116,0.116,0.117,14.168,0.311,0.669,0.528,0.637,0.581,0.733,2.3e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015170574188232422
svc,craig,0.76,0.758,0.758,0.76,0.102,0.101,0.101,0.102,6.488,0.003,0.607,0.522,0.658,0.603,0.637,9e-06,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015170574188232422
logreg,craig,0.72,0.717,0.717,0.72,0.075,0.073,0.073,0.075,7.09,0.007,0.659,0.508,0.611,0.553,0.723,0.0,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015170574188232422
mlp,craig,0.7,0.698,0.698,0.7,0.089,0.088,0.088,0.089,8.46,0.062,0.64,0.516,0.633,0.575,0.664,7.5e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015170574188232422
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.371,0.036,0.182,0.109,0.122,0.109,0.104,1.3e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015382766723632812
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.167,0.305,0.23,0.136,0.149,0.136,0.118,2.3e-05,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015382766723632812
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.1,0.005,0.291,0.216,0.273,0.225,0.216,8e-06,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015382766723632812
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.286,0.006,0.275,0.207,0.264,0.216,0.186,1e-06,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015382766723632812
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.36,0.687,0.306,0.254,0.34,0.275,0.234,9e-06,50,0,1236.3609631061554,490.72308254241943,5.712205787666254e-07,0.0015382766723632812
xgb,random,0.87,0.868,0.868,0.87,0.051,0.052,0.052,0.051,7.757,0.018,0.761,0.73,0.849,0.841,0.852,2e-06,50,1,,,,
rf,random,0.84,0.838,0.838,0.84,0.086,0.087,0.087,0.086,12.612,0.443,0.813,0.737,0.842,0.825,0.875,3.5e-05,50,1,,,,
svc,random,0.79,0.785,0.785,0.79,0.08,0.083,0.083,0.08,6.578,0.009,0.772,0.658,0.772,0.738,0.837,1.3e-05,50,1,,,,
logreg,random,0.82,0.816,0.816,0.82,0.108,0.111,0.111,0.108,7.127,0.007,0.81,0.748,0.852,0.839,0.869,1e-06,50,1,,,,
mlp,random,0.74,0.734,0.734,0.74,0.066,0.073,0.073,0.066,6.872,0.146,0.767,0.662,0.779,0.747,0.84,1.2e-05,50,1,,,,
xgb,k-means,0.91,0.91,0.91,0.91,0.049,0.049,0.049,0.049,6.545,0.012,0.857,0.765,0.857,0.841,0.899,1.8e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0014200210571289062
rf,k-means,0.87,0.869,0.869,0.87,0.068,0.068,0.068,0.068,17.251,0.405,0.763,0.661,0.779,0.747,0.852,2.9e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0014200210571289062
svc,k-means,0.79,0.789,0.789,0.79,0.037,0.037,0.037,0.037,5.763,0.005,0.701,0.616,0.748,0.711,0.78,1.1e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0014200210571289062
logreg,k-means,0.82,0.82,0.82,0.82,0.068,0.068,0.068,0.068,7.157,0.015,0.642,0.561,0.701,0.655,0.695,0.0,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0014200210571289062
mlp,k-means,0.76,0.759,0.759,0.76,0.058,0.058,0.058,0.058,7.322,0.089,0.699,0.601,0.729,0.687,0.773,3.3e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0014200210571289062
xgb,ag,0.91,0.909,0.909,0.91,0.058,0.059,0.059,0.058,4.274,0.033,0.83,0.715,0.817,0.792,0.886,1.8e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0016698837280273438
rf,ag,0.8,0.796,0.796,0.8,0.032,0.032,0.032,0.032,13.875,0.162,0.812,0.721,0.827,0.805,0.869,1.2e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0016698837280273438
svc,ag,0.82,0.818,0.818,0.82,0.051,0.052,0.052,0.051,6.954,0.007,0.667,0.584,0.721,0.679,0.739,6e-06,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0016698837280273438
logreg,ag,0.83,0.827,0.827,0.83,0.093,0.094,0.094,0.093,7.059,0.009,0.673,0.573,0.703,0.656,0.752,1e-06,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0016698837280273438
mlp,ag,0.76,0.758,0.758,0.76,0.111,0.112,0.112,0.111,7.322,0.061,0.705,0.599,0.724,0.681,0.778,2.4e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0016698837280273438
xgb,k_center,0.64,0.634,0.634,0.64,0.159,0.162,0.162,0.159,6.112,0.031,0.58,0.564,0.75,0.731,0.677,3e-06,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013446807861328125
rf,k_center,0.56,0.552,0.552,0.56,0.111,0.113,0.113,0.111,14.558,0.327,0.765,0.712,0.832,0.817,0.834,2.8e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013446807861328125
svc,k_center,0.6,0.593,0.593,0.6,0.089,0.093,0.093,0.089,7.1,0.006,0.615,0.424,0.492,0.44,0.285,1.3e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013446807861328125
logreg,k_center,0.55,0.535,0.535,0.55,0.118,0.133,0.133,0.118,6.361,0.005,0.605,0.412,0.476,0.427,0.717,1e-06,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013446807861328125
mlp,k_center,0.52,0.508,0.508,0.52,0.125,0.136,0.136,0.125,6.66,0.105,0.603,0.422,0.495,0.441,0.658,2.7e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013446807861328125
xgb,craig,0.763,0.754,0.754,0.76,0.107,0.106,0.106,0.102,4.306,0.027,0.524,0.418,0.526,0.46,0.615,8e-06,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013384819030761719
rf,craig,0.742,0.738,0.739,0.74,0.048,0.05,0.05,0.049,14.652,0.101,0.436,0.272,0.305,0.275,0.472,1.1e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013384819030761719
svc,craig,0.647,0.634,0.634,0.64,0.144,0.144,0.144,0.136,6.216,0.002,0.586,0.498,0.631,0.572,0.654,7e-06,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013384819030761719
logreg,craig,0.663,0.656,0.657,0.66,0.127,0.121,0.122,0.12,5.52,0.008,0.543,0.488,0.642,0.585,0.56,0.0,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013384819030761719
mlp,craig,0.627,0.611,0.611,0.62,0.142,0.141,0.141,0.133,7.706,0.039,0.59,0.522,0.669,0.617,0.633,4e-06,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.0013384819030761719
xgb,lc,0.98,0.98,0.98,0.98,0.04,0.04,0.04,0.04,14.656,0.036,0.196,0.104,0.105,0.104,0.145,1.2e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.001399993896484375
rf,lc,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,14.369,0.264,0.222,0.122,0.127,0.122,0.121,1.8e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.001399993896484375
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.054,0.007,0.347,0.264,0.336,0.279,0.258,9e-06,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.001399993896484375
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.103,0.005,0.309,0.242,0.312,0.255,0.262,1e-06,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.001399993896484375
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.688,0.127,0.336,0.288,0.39,0.319,0.288,3e-05,50,1,1877.694573879242,619.1391670703888,5.025331679900466e-07,0.001399993896484375
xgb,random,0.85,0.849,0.849,0.85,0.084,0.084,0.084,0.084,7.073,0.037,0.826,0.748,0.849,0.833,0.881,2e-05,50,2,,,,
rf,random,0.85,0.849,0.849,0.85,0.063,0.063,0.063,0.063,18.315,0.481,0.777,0.667,0.781,0.749,0.853,3.4e-05,50,2,,,,
svc,random,0.8,0.799,0.799,0.8,0.084,0.085,0.085,0.084,6.647,0.007,0.79,0.72,0.832,0.814,0.841,9e-06,50,2,,,,
logreg,random,0.8,0.799,0.799,0.8,0.084,0.085,0.085,0.084,6.938,0.007,0.786,0.717,0.83,0.812,0.856,0.0,50,2,,,,
mlp,random,0.81,0.809,0.809,0.81,0.049,0.049,0.049,0.049,7.707,0.093,0.772,0.685,0.802,0.777,0.83,5.2e-05,50,2,,,,
xgb,k-means,0.97,0.97,0.97,0.97,0.024,0.025,0.025,0.024,7.322,0.054,0.82,0.795,0.888,0.884,0.879,9e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0015873908996582031
rf,k-means,0.91,0.91,0.91,0.91,0.066,0.067,0.067,0.066,14.226,0.301,0.829,0.747,0.847,0.83,0.886,2e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0015873908996582031
