model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
svc,k_center,0.6,0.52,0.52,0.6,0.255,0.299,0.299,0.255,6.791,0.002,0.5,0.135,0.043,0.156,0.449,5e-06,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
logreg,k_center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,6.254,0.007,0.488,0.139,0.053,0.157,0.45,1e-06,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
mlp,k_center,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,4.979,0.042,0.537,0.401,0.488,0.427,0.552,6.9e-05,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.454,0.463,0.835,0.792,0.883,0.876,0.873,1.8e-05,original,10,6,,,,
rf,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,17.164,0.427,0.764,0.678,0.798,0.771,0.837,2.6e-05,original,10,6,,,,
svc,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.347,0.002,0.76,0.667,0.787,0.758,0.824,3e-06,original,10,6,,,,
logreg,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.001,0.006,0.779,0.691,0.807,0.782,0.845,1e-06,original,10,6,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,8.056,0.035,0.737,0.635,0.757,0.721,0.802,2.2e-05,original,10,6,,,,
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.731,0.034,0.829,0.798,0.889,0.884,0.843,1.6e-05,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
rf,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,13.489,0.242,0.734,0.651,0.778,0.749,0.841,1.9e-05,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
svc,k-means,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.815,0.002,0.713,0.642,0.776,0.747,0.79,1e-06,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
logreg,k-means,0.7,0.667,0.667,0.7,0.245,0.279,0.279,0.245,2.705,0.005,0.708,0.643,0.779,0.752,0.788,0.0,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
mlp,k-means,0.55,0.513,0.513,0.55,0.1,0.128,0.128,0.1,7.604,0.059,0.745,0.685,0.812,0.792,0.813,4e-05,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.54,0.016,0.831,0.795,0.886,0.88,0.848,9e-06,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
rf,ag,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,14.406,0.189,0.731,0.62,0.741,0.701,0.813,1e-05,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
svc,ag,0.5,0.387,0.387,0.5,0.158,0.181,0.181,0.158,6.879,0.001,0.726,0.6,0.716,0.671,0.222,2e-06,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
logreg,ag,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,7.031,0.006,0.672,0.657,0.812,0.804,0.795,0.0,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
mlp,ag,0.4,0.353,0.353,0.4,0.255,0.251,0.251,0.255,7.248,0.029,0.679,0.617,0.76,0.729,0.761,4e-06,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
xgb,k_center,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,7.502,0.041,0.505,0.175,0.11,0.186,0.745,7e-06,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
rf,k_center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,14.077,0.2,0.507,0.188,0.132,0.196,0.779,1.5e-05,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
svc,k_center,0.5,0.367,0.367,0.5,0.0,0.067,0.067,0.0,7.17,0.002,0.558,0.349,0.39,0.354,0.461,4e-06,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
logreg,k_center,0.55,0.447,0.447,0.55,0.1,0.157,0.157,0.1,4.208,0.005,0.515,0.282,0.291,0.282,0.454,1e-06,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
mlp,k_center,0.45,0.307,0.307,0.45,0.1,0.053,0.053,0.1,7.417,0.031,0.533,0.333,0.371,0.337,0.49,4.3e-05,original,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
xgb,k_means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.707,0.046,0.832,0.802,0.891,0.886,0.832,8e-06,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
rf,k_means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.016,0.332,0.824,0.796,0.888,0.883,0.89,2e-05,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
